return_id,order_item_id,order_id,user_id,product_id,product_name,category,subcategory,brand,region,order_timestamp,return_request_date,return_date,return_quantity,return_reason,return_status,refund_method,refund_amount
RET0000002,OI00000006,ORD0000004,U00730,P034,Lakme Lipstick,Beauty,Makeup,Lakme,Delhi,2025-12-22 10:19:00,2025-12-23 10:19:00,2025-12-24 10:19:00,1,Wrong shade,approved,original_payment_method,325.0
RET0000004,OI00000031,ORD0000015,U00009,P025,Lakme Foundation,Beauty,Makeup,Lakme,Pune,2025-12-22 21:46:00,2025-12-24 21:46:00,2025-12-26 21:46:00,1,Skin irritation,pending,store_credit,0.0
RET0000001,OI00000002,ORD0000002,U00775,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,Hyderabad,2025-12-22 08:51:00,2025-12-24 08:51:00,2025-12-27 08:51:00,1,Color mismatch,approved,original_payment_method,761.0
RET0000011,OI00000116,ORD0000056,U00850,P073,Zara Black Denim Shirt,Clothing,Shirts,Zara,Kolkata,2025-12-27 15:16:00,2025-12-28 15:16:00,2025-12-28 15:16:00,1,Product quality issue,approved,original_payment_method,663.0
RET0000006,OI00000049,ORD0000023,U00013,P005,Nivea Face Wash,Beauty,Skincare,Nivea,Hyderabad,2025-12-23 18:08:00,2025-12-27 18:08:00,2025-12-29 18:08:00,1,Product damaged,approved,wallet_refund,1130.0
RET0000009,OI00000092,ORD0000044,U00430,P169,Nike Sneakers Size 10,Sports,Shoes,Nike,Pune,2025-12-26 10:40:00,2025-12-30 10:40:00,2026-01-01 10:40:00,1,Size issue,approved,original_payment_method,1381.0
RET0000018,OI00000170,ORD0000081,U00470,P182,Zara Blue Cotton Shirt,Clothing,Shirts,Zara,Bengaluru,2025-12-30 13:20:00,2025-12-31 13:20:00,2026-01-01 13:20:00,1,Product quality issue,approved,original_payment_method,1991.0
RET0000007,OI00000057,ORD0000026,U00260,P059,H&M Black Denim T-Shirt,Clothing,T-Shirts,H&M,Mumbai,2025-12-23 21:17:00,2025-12-28 21:17:00,2026-01-01 21:17:00,1,Product quality issue,approved,original_payment_method,1070.0
RET0000024,OI00000204,ORD0000096,U00224,P125,Zara Blue Denim Jeans,Clothing,Jeans,Zara,Mumbai,2026-01-01 09:36:00,2026-01-02 09:36:00,2026-01-03 09:36:00,1,Product quality issue,approved,original_payment_method,2480.0
RET0000005,OI00000040,ORD0000020,U00713,P100,Zara Green Cotton Shirt,Clothing,Shirts,Zara,Pune,2025-12-23 16:06:00,2025-12-26 16:06:00,2026-01-03 16:06:00,1,Product quality issue,approved,original_payment_method,2505.0
