event_id,session_id,user_id,event_type,event_timestamp,event_step,product_id,product_name,category,subcategory,brand,region,device_type,traffic_source,page_type,search_keyword,event_date
EVT0027290,S006383,U00063,visit,2026-04-21 08:04:53,1,P143,OnePlus G1 256GB Red,Electronics,Smartphone,OnePlus,Mumbai,mobile,email,landing_page,,2026-04-21
EVT0027291,S006383,U00063,search,2026-04-21 08:05:40,2,P143,OnePlus G1 256GB Red,Electronics,Smartphone,OnePlus,Mumbai,mobile,email,search_results,best smartphone,2026-04-21
EVT0027292,S006383,U00063,view,2026-04-21 08:06:35,3,P143,OnePlus G1 256GB Red,Electronics,Smartphone,OnePlus,Mumbai,mobile,email,product_page,,2026-04-21
EVT0027293,S006383,U00063,add_to_cart,2026-04-21 08:08:43,4,P143,OnePlus G1 256GB Red,Electronics,Smartphone,OnePlus,Mumbai,mobile,email,cart,,2026-04-21
EVT0027294,S006383,U00063,checkout_start,2026-04-21 08:09:27,5,P143,OnePlus G1 256GB Red,Electronics,Smartphone,OnePlus,Mumbai,mobile,email,checkout,,2026-04-21
EVT0027295,S006383,U00063,checkout_abandon,2026-04-21 08:10:11,6,P143,OnePlus G1 256GB Red,Electronics,Smartphone,OnePlus,Mumbai,mobile,email,checkout,,2026-04-21
EVT0027478,S006424,U00131,visit,2026-04-21 08:27:44,1,P020,Puma Yoga Mat,Sports,Equipment,Puma,Delhi,mobile,paid_ads,landing_page,,2026-04-21
EVT0027479,S006424,U00131,view,2026-04-21 08:29:35,2,P020,Puma Yoga Mat,Sports,Equipment,Puma,Delhi,mobile,paid_ads,product_page,,2026-04-21
EVT0027480,S006424,U00131,add_to_cart,2026-04-21 08:31:48,3,P020,Puma Yoga Mat,Sports,Equipment,Puma,Delhi,mobile,paid_ads,cart,,2026-04-21
EVT0027481,S006424,U00131,checkout_start,2026-04-21 08:32:56,4,P020,Puma Yoga Mat,Sports,Equipment,Puma,Delhi,mobile,paid_ads,checkout,,2026-04-21
EVT0027245,S006373,U00187,visit,2026-04-21 08:34:01,1,P042,Dell ion 32GB RAM 512GB SSD,Electronics,Laptop,Dell,Pune,mobile,paid_ads,landing_page,,2026-04-21
EVT0027482,S006424,U00131,checkout_abandon,2026-04-21 08:34:11,5,P020,Puma Yoga Mat,Sports,Equipment,Puma,Delhi,mobile,paid_ads,checkout,,2026-04-21
EVT0027246,S006373,U00187,search,2026-04-21 08:34:34,2,P042,Dell ion 32GB RAM 512GB SSD,Electronics,Laptop,Dell,Pune,mobile,paid_ads,search_results,laptop deals,2026-04-21
