order_item_id,order_id,product_id,product_name,category,subcategory,brand,quantity,unit_price,total_price
OI00000001,ORD0000001,P018,UrbanCo Metal Dining Table Large,Home,Furniture,UrbanCo,1,24543.0,24543.0
OI00000002,ORD0000002,P170,H&M Green Cotton Shirt,Clothing,Shirts,H&M,1,761.0,761.0
OI00000003,ORD0000003,P005,Nivea Face Wash,Beauty,Skincare,Nivea,1,1130.0,1130.0
OI00000004,ORD0000003,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,2,1751.0,3502.0
OI00000005,ORD0000003,P056,Lakme Shampoo,Beauty,Haircare,Lakme,1,952.0,952.0
OI00000006,ORD0000004,P034,Lakme Lipstick,Beauty,Makeup,Lakme,1,325.0,325.0
OI00000007,ORD0000004,P007,Lakme Hair Oil,Beauty,Haircare,Lakme,1,1471.0,1471.0
OI00000008,ORD0000005,P002,Nike Yoga Mat,Sports,Equipment,Nike,1,4345.0,4345.0
OI00000009,ORD0000005,P183,Nike Sneakers Size 9,Sports,Shoes,Nike,1,1083.0,1083.0
OI00000010,ORD0000005,P068,Puma Sports T-Shirt,Sports,Activewear,Puma,1,648.0,648.0
OI00000011,ORD0000006,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,1,4232.0,4232.0
OI00000012,ORD0000006,P033,UrbanCo Plastic Dining Table Small,Home,Furniture,UrbanCo,1,7598.0,7598.0
OI00000013,ORD0000007,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,1,1812.0,1812.0
OI00000014,ORD0000007,P095,H&M Black Denim Jeans,Clothing,Jeans,H&M,1,3649.0,3649.0
OI00000015,ORD0000008,P177,Puma Sneakers Size 9,Sports,Shoes,Puma,1,5810.0,5810.0
OI00000016,ORD0000008,P197,Puma Sneakers Size 8,Sports,Shoes,Puma,1,6353.0,6353.0
OI00000017,ORD0000008,P038,Adidas Running Shoes Size 9,Sports,Shoes,Adidas,1,1414.0,1414.0
OI00000018,ORD0000009,P164,UrbanCo Metal Sofa Medium,Home,Furniture,UrbanCo,1,15712.0,15712.0
OI00000019,ORD0000010,P088,Zara Red Denim Jeans,Clothing,Jeans,Zara,1,3394.0,3394.0
OI00000020,ORD0000010,P182,Zara Blue Cotton Shirt,Clothing,Shirts,Zara,1,1991.0,1991.0
OI00000021,ORD0000010,P125,Zara Blue Denim Jeans,Clothing,Jeans,Zara,1,2480.0,2480.0
OI00000022,ORD0000011,P179,Zara Black Polyester Shirt,Clothing,Shirts,Zara,1,2943.0,2943.0
OI00000023,ORD0000011,P175,Zara White Denim Jeans,Clothing,Jeans,Zara,1,2117.0,2117.0
OI00000024,ORD0000012,P006,UrbanCo Lamp,Home,Decor,UrbanCo,1,2790.0,2790.0
OI00000025,ORD0000012,P139,UrbanCo Wooden Chair Large,Home,Furniture,UrbanCo,1,8748.0,8748.0
OI00000026,ORD0000013,P195,H&M Green Denim Jeans,Clothing,Jeans,H&M,1,1812.0,1812.0
OI00000027,ORD0000013,P125,Zara Blue Denim Jeans,Clothing,Jeans,Zara,1,2480.0,2480.0
OI00000028,ORD0000014,P023,Zara White Cotton T-Shirt,Clothing,T-Shirts,Zara,1,474.0,474.0
OI00000029,ORD0000014,P095,H&M Black Denim Jeans,Clothing,Jeans,H&M,1,3649.0,3649.0
OI00000030,ORD0000015,P056,Lakme Shampoo,Beauty,Haircare,Lakme,1,952.0,952.0
OI00000031,ORD0000015,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000032,ORD0000015,P048,Nivea Moisturizer,Beauty,Skincare,Nivea,1,1859.0,1859.0
OI00000033,ORD0000016,P012,Nivea Foundation,Beauty,Makeup,Nivea,1,2237.0,2237.0
OI00000034,ORD0000017,P166,H&M Black Cotton Jacket,Clothing,Jackets,H&M,1,4254.0,4254.0
OI00000035,ORD0000017,P173,Zara Green Denim T-Shirt,Clothing,T-Shirts,Zara,1,473.0,473.0
OI00000036,ORD0000018,P010,Samsung Phone Case,Electronics,Accessories,Samsung,1,1711.0,1711.0
OI00000037,ORD0000019,P093,Zara Green Polyester Jeans,Clothing,Jeans,Zara,1,1066.0,1066.0
OI00000038,ORD0000019,P110,H&M White Polyester Shirt,Clothing,Shirts,H&M,1,1438.0,1438.0
OI00000039,ORD0000019,P051,Zara Red Polyester T-Shirt,Clothing,T-Shirts,Zara,1,349.0,349.0
OI00000040,ORD0000020,P100,Zara Green Cotton Shirt,Clothing,Shirts,Zara,1,2505.0,2505.0
OI00000041,ORD0000020,P189,H&M Red Polyester Shirt,Clothing,Shirts,H&M,1,2483.0,2483.0
OI00000042,ORD0000020,P103,Zara Red Cotton Jacket,Clothing,Jackets,Zara,1,2086.0,2086.0
OI00000043,ORD0000021,P119,Lakme Moisturizer,Beauty,Skincare,Lakme,1,1751.0,1751.0
OI00000044,ORD0000021,P025,Lakme Foundation,Beauty,Makeup,Lakme,1,462.0,462.0
OI00000045,ORD0000021,P036,Nivea Hair Oil,Beauty,Haircare,Nivea,1,877.0,877.0
OI00000046,ORD0000022,P194,Zara Blue Polyester Jeans,Clothing,Jeans,Zara,1,2697.0,2697.0
OI00000047,ORD0000022,P084,H&M White Polyester Jeans,Clothing,Jeans,H&M,2,2041.0,4082.0
OI00000048,ORD0000023,P007,Lakme Hair Oil,Beauty,Haircare,Lakme,1,1471.0,1471.0
OI00000049,ORD0000023,P005,Nivea Face Wash,Beauty,Skincare,Nivea,1,1130.0,1130.0
OI00000050,ORD0000024,P063,UrbanCo Metal Chair Large,Home,Furniture,UrbanCo,1,4232.0,4232.0
OI00000051,ORD0000024,P164,UrbanCo Metal Sofa Medium,Home,Furniture,UrbanCo,1,15712.0,15712.0
OI00000052,ORD0000024,P085,UrbanCo Plastic Dining Table Large,Home,Furniture,UrbanCo,1,12303.0,12303.0
OI00000053,ORD0000025,P001,Samsung Charger,Electronics,Accessories,Samsung,1,1356.0,1356.0
OI00000054,ORD0000025,P060,Boat Bluetooth Headphones,Electronics,Headphones,Boat,1,4117.0,4117.0
OI00000055,ORD0000026,P193,H&M Red Cotton Jeans,Clothing,Jeans,H&M,1,1646.0,1646.0
OI00000056,ORD0000026,P146,H&M Blue Polyester Shirt,Clothing,Shirts,H&M,1,2713.0,2713.0
OI00000057,ORD0000026,P059,H&M Black Denim T-Shirt,Clothing,T-Shirts,H&M,2,1070.0,2140.0
OI00000058,ORD0000027,P115,Nike Sports T-Shirt,Sports,Activewear,Nike,1,2606.0,2606.0
OI00000059,ORD0000028,P004,UrbanCo Mixer,Home,Kitchen,UrbanCo,1,3983.0,3983.0
OI00000060,ORD0000028,P116,UrbanCo Plastic Chair Medium,Home,Furniture,UrbanCo,1,20112.0,20112.0
OI00000061,ORD0000029,P056,Lakme Shampoo,Beauty,Haircare,Lakme,1,952.0,952.0
OI00000062,ORD0000029,P003,Nivea Shampoo,Beauty,Haircare,Nivea,1,201.0,201.0
OI00000063,ORD0000030,P161,Apple Air 32GB RAM 512GB SSD,Electronics,Laptop,Apple,1,83250.0,83250.0
OI00000064,ORD0000031,P126,UrbanCo Wooden Sofa Medium,Home,Furniture,UrbanCo,1,5133.0,5133.0
OI00000065,ORD0000032,P020,Puma Yoga Mat,Sports,Equipment,Puma,1,12458.0,12458.0
OI00000066,ORD0000032,P155,Adidas Sports T-Shirt,Sports,Activewear,Adidas,2,1397.0,2794.0
OI00000067,ORD0000032,P046,Nike Running Shoes Size 8,Sports,Shoes,Nike,1,5354.0,5354.0
OI00000068,ORD0000033,P143,OnePlus G1 256GB Red,Electronics,Smartphone,OnePlus,1,15113.0,15113.0
OI00000069,ORD0000034,P003,Nivea Shampoo,Beauty,Haircare,Nivea,1,201.0,201.0
OI00000070,ORD0000034,P009,Nivea Lipstick,Beauty,Makeup,Nivea,1,2838.0,2838.0
